Municipio;Produto_interno_bruto_(PIB).
110001 ALTA FLORESTA D'OESTE;261949.6
110002 ARIQUEMES;1361647.2
110003 CABIXI;69197.1
110004 CACOAL;1184416.7
110005 CEREJEIRAS;221800.7
110006 COLORADO DO OESTE;192354.8
110007 CORUMBIARA;114790.0
110008 COSTA MARQUES;107871.8
110009 ESPIGAO D'OESTE;311429.9
110010 GUAJARA-MIRIM;597835.6
110011 JARU;796279.9
110012 JI-PARANA;1853196.2
110013 MACHADINHO D'OESTE;271683.3
110014 NOVA BRASILANDIA D'OESTE;173489.8
110015 OURO PRETO DO OESTE;477537.0
110018 PIMENTA BUENO;540133.9
110020 PORTO VELHO;9056271.3
110025 PRESIDENTE MEDICI;235403.0
110026 RIO CRESPO;43042.5
110028 ROLIM DE MOURA;627591.0
110029 SANTA LUZIA D'OESTE;98649.5
110030 VILHENA;1445169.3
110032 SAO MIGUEL DO GUAPORE;324516.6
110033 NOVA MAMORE;218126.9
110034 ALVORADA D'OESTE;160502.8
110037 ALTO ALEGRE DOS PARECIS;119903.3
110040 ALTO PARAISO;152091.4
110045 BURITIS;335692.9
110050 NOVO HORIZONTE DO OESTE;95621.7
110060 CACAULANDIA;76800.4
110070 CAMPO NOVO DE RONDONIA;117849.0
110080 CANDEIAS DO JAMARI;280775.6
110090 CASTANHEIRAS;39919.8
110092 CHUPINGUAIA;165552.0
110094 CUJUBIM;210028.9
110100 GOVERNADOR JORGE TEIXEIRA;110955.4
110110 ITAPUA DO OESTE;90198.1
110120 MINISTRO ANDREAZZA;99774.4
110130 MIRANTE DA SERRA;114997.5
110140 MONTE NEGRO;148374.3
110143 NOVA UNIAO;70689.8
110145 PARECIS;49965.5
110146 PIMENTEIRAS DO OESTE;43796.5
110147 PRIMAVERA DE RONDONIA;35074.0
110148 SAO FELIPE D'OESTE;58688.9
110149 SAO FRANCISCO DO GUAPORE;173545.8
110150 SERINGUEIRAS;117343.2
110155 TEIXEIROPOLIS;49957.9
110160 THEOBROMA;105458.9
110170 URUPA;121410.5
110175 VALE DO ANARI;91432.6
110180 VALE DO PARAISO;89208.5
120001 ACRELANDIA;122174.9
120005 ASSIS BRASIL;42072.5
120010 BRASILEIA;190989.6
120013 BUJARI;86194.9
120017 CAPIXABA;108494.5
