Municipio;Obitos
110001 ALTA FLORESTA D'OESTE;7
110002 ARIQUEMES;41
110004 CACOAL;19
110005 CEREJEIRAS;9
110006 COLORADO DO OESTE;2
110008 COSTA MARQUES;6
110009 ESPIGAO D'OESTE;2
110010 GUAJARA-MIRIM;11
110011 JARU;9
110012 JI-PARANA;3
110013 MACHADINHO D'OESTE;17
110014 NOVA BRASILANDIA D'OESTE;3
110015 OURO PRETO DO OESTE;15
110018 PIMENTA BUENO;7
110020 PORTO VELHO;183
110025 PRESIDENTE MEDICI;1
110026 RIO CRESPO;5
110028 ROLIM DE MOURA;9
110030 VILHENA;25
110032 SAO MIGUEL DO GUAPORE;4
110033 NOVA MAMORE;14
110034 ALVORADA D'OESTE;2
110037 ALTO ALEGRE DOS PARECIS;5
110040 ALTO PARAISO;12
110045 BURITIS;25
110050 NOVO HORIZONTE DO OESTE;1
110060 CACAULANDIA;1
110070 CAMPO NOVO DE RONDONIA;15
110080 CANDEIAS DO JAMARI;4
110090 CASTANHEIRAS;1
110092 CHUPINGUAIA;1
110094 CUJUBIM;6
110120 MINISTRO ANDREAZZA;2
110130 MIRANTE DA SERRA;2
110140 MONTE NEGRO;8
110145 PARECIS;1
110147 PRIMAVERA DE RONDONIA;1
110148 SAO FELIPE D'OESTE;2
110149 SAO FRANCISCO DO GUAPORE;4
110150 SERINGUEIRAS;2
110160 THEOBROMA;1
110170 URUPA;3
110175 VALE DO ANARI;5
120001 ACRELANDIA;5
120010 BRASILEIA;6
120017 CAPIXABA;2
120020 CRUZEIRO DO SUL;17
120025 EPITACIOLANDIA;2
120030 FEIJO;7
120033 MANCIO LIMA;1
120035 MARECHAL THAUMATURGO;1
120038 PLACIDO DE CASTRO;2
120040 RIO BRANCO;95
120042 RODRIGUES ALVES;3
120045 SENADOR GUIOMARD;4
120050 SENA MADUREIRA;9
120060 TARAUACA;2
120070 XAPURI;1
120080 PORTO ACRE;3
130002 ALVARAES;1
130010 ANORI;1
130014 APUI;4
130020 ATALAIA DO NORTE;2
130030 AUTAZES;3
130040 BARCELOS;3
130060 BENJAMIN CONSTANT;3
130063 BERURI;2
130068 BOA VISTA DO RAMOS;2
130070 BOCA DO ACRE;6
130080 BORBA;3
130090 CANUTAMA;2
130100 CARAUARI;2
130110 CAREIRO;5
130115 CAREIRO DA VARZEA;1
130120 COARI;16
130130 CODAJAS;5
130140 EIRUNEPE;6
130160 FONTE BOA;6
130170 HUMAITA;3
130185 IRANDUBA;13
130190 ITACOATIARA;12
130200 ITAPIRANGA;1
130220 JURUA;2
130240 LABREA;7
130250 MANACAPURU;24
130255 MANAQUIRI;2
130260 MANAUS;798
130270 MANICORE;6
130290 MAUES;14
130310 NOVA OLINDA DO NORTE;2
130320 NOVO AIRAO;3
130330 NOVO ARIPUANA;1
130340 PARINTINS;10
130350 PAUINI;2
130353 PRESIDENTE FIGUEIREDO;6
130356 RIO PRETO DA EVA;5
130360 SANTA ISABEL DO RIO NEGRO;1
130370 SANTO ANTONIO DO ICA;1
130380 SAO GABRIEL DA CACHOEIRA;3
130390 SAO PAULO DE OLIVENCA;1
130395 SAO SEBASTIAO DO UATUMA;2
130400 SILVES;1
130406 TABATINGA;15
130410 TAPAUA;1
130420 TEFE;9
130426 UARINI;5
130430 URUCARA;4
140002 AMAJARI;3
140005 ALTO ALEGRE;4
140010 BOA VISTA;82
140015 BONFIM;2
140017 CANTA;3
140020 CARACARAI;5
140023 CAROEBE;2
140028 IRACEMA;2
140030 MUCAJAI;4
140045 PACARAIMA;1
140047 RORAINOPOLIS;7
140050 SAO JOAO DA BALIZA;1
140060 SAO LUIZ;2
140070 UIRAMUTA;1
150010 ABAETETUBA;42
150013 ABEL FIGUEIREDO;2
150020 ACARA;3
150030 AFUA;5
150034 AGUA AZUL DO NORTE;6
150040 ALENQUER;2
150050 ALMEIRIM;3
150060 ALTAMIRA;64
150070 ANAJAS;1
150080 ANANINDEUA;480
150085 ANAPU;12
150090 AUGUSTO CORREA;3
150095 AURORA DO PARA;4
150100 AVEIRO;2
150110 BAGRE;1
150120 BAIAO;14
150125 BANNACH;1
150130 BARCARENA;47
150140 BELEM;872
150150 BENEVIDES;30
150157 BOM JESUS DO TOCANTINS;2
150170 BRAGANCA;32
150172 BRASIL NOVO;2
150175 BREJO GRANDE DO ARAGUAIA;5
150178 BREU BRANCO;26
150180 BREVES;10
150190 BUJARU;3
150195 CACHOEIRA DO PIRIA;4
150210 CAMETA;9
150215 CANAA DOS CARAJAS;8
150220 CAPANEMA;13
150230 CAPITAO POCO;27
150240 CASTANHAL;105
150250 CHAVES;1
150260 COLARES;1
150270 CONCEICAO DO ARAGUAIA;13
150275 CONCORDIA DO PARA;8
150276 CUMARU DO NORTE;1
150277 CURIONOPOLIS;10
150280 CURRALINHO;4
150290 CURUCA;3
150293 DOM ELISEU;17
150295 ELDORADO DOS CARAJAS;15
150304 FLORESTA DO ARAGUAIA;8
150307 GARRAFAO DO NORTE;6
150309 GOIANESIA DO PARA;17
150310 GURUPA;3
150320 IGARAPE-ACU;5
150330 IGARAPE-MIRI;21
150340 INHANGAPI;3
150345 IPIXUNA DO PARA;11
150350 IRITUIA;4
150360 ITAITUBA;36
150370 ITUPIRANGA;21
150375 JACAREACANGA;2
150380 JACUNDA;25
150390 JURUTI;3
150400 LIMOEIRO DO AJURU;2
